카드 ID,카드명,카드 브랜드,체크/신용,이미지 URL,카드 디테일 링크,통합혜택,대분류태그,소분류태그
20,신한카드 Simple Platinum#,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/21/card_img/32302/21card.png,https://www.card-gorilla.com/card/detail/21,모든가맹점 전 가맹점 생활밀착 추가 캐시백 생활 잔돈 할인 서비스 Coin Save 영화 온라인 예매 테마파크 서울랜드 프리미엄 Platinum 및 국제브랜드사,"['생활서비스', '여가/오락']",['취미/오락']
21,카카오페이 신한카드,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/22/card_img/20104/22card.png,https://www.card-gorilla.com/card/detail/22,카카오페이 결제금액 할인 소셜커머스 쿠팡 카페 스타벅스 커피빈 영화 CGV 메가박스 롯데시네마 대중교통 버스 지하철 이용금액,"['디저트', '식사', '소매/유통', '생활서비스', '여가/오락']","['커피/음료', '제과/제빵/떡/케익', '교통서비스']"
22,신한카드 Always FAN,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/23/card_img/20105/23card.png,https://www.card-gorilla.com/card/detail/23,간편결제 신한 FAN페이 앱카드 온라인 거래 결제일 할인 편의점 대 드럭스토어 올리브영 카페 디저트 커피전문점 제과점 업종 영화 CGV 예매 천원 렌터카 쏘카 SOCAR,"['전자상거래', '디저트', '식사', '소매/유통', '생활서비스', '여가/오락']","['음/식료품소매', '화장품소매', '제과/제빵/떡/케익', '차량관리/서비스', '커피/음료']"
23,EDIYA 신한카드 Tasty,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/24/card_img/20106/24card.png,https://www.card-gorilla.com/card/detail/24,카페 EDIYA COFFEE 결제일 할인 쇼핑 Trendy 서비스 다이닝 몰링 영화 Young Life 영푸드,"['디저트', '식사']","['커피/음료', '의복/의류', '전문서비스', '별식/퓨전요리', '공연관람']"
24,신한카드 Noon,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/25/card_img/20107/25card.png,https://www.card-gorilla.com/card/detail/25,점심 점심시간 요식업종 가맹점 할인 카페 디저트 커피전문점 제과점 업종 원 통신 이동통신요금 자동이체 택시 택시요금 해외 직구몰 등,"['디저트', '생활서비스', '식사']","['커피/음료', '의복/의류', '전문서비스', '별식/퓨전요리']"
25,신한카드 Edu,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/26/card_img/36674/26card.png,https://www.card-gorilla.com/card/detail/26,교육 육아 일반전문학원 학습지 유치원 업종 캐시백 공과금 아파트 관리비 자동이체 매월 원 생활 주요 생활업종 이용시,['생활서비스'],['전문서비스']
26,아시아나 신한카드 Air 1.5,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/27/card_img/25865/27card.png,https://www.card-gorilla.com/card/detail/27,아시아나항공 이용금액 원당 아시아나 마일리지 적립 공항라운지 국내 무료 이용 mastercard PLATINUM 프리미엄 서비스 제공,['생활서비스'],['전문서비스']
27,신세계 신한카드,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/28/card_img/20110/28card.png,https://www.card-gorilla.com/card/detail/28,백화점 신세계백화점 결제일 할인 생활 Life Care가맹점 테마파크 롯데월드 서울랜드 자유이용권 해외 매출 캐시백,"['소매/유통', '여가/오락']",['취미/오락']
28,TLX PASS 신한카드,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/29/card_img/20111/29card.png,https://www.card-gorilla.com/card/detail/29,피트니스 TLX PASS 결제일 할인 쇼핑 SPA 브랜드 H B Store 영화 CGV 롯데시네마 메가박스 원 카페 커피업종 이용시,"['디저트', '식사', '여가/오락']",['커피/음료']
29,모바일 Tmoney 신한카드,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/30/card_img/20112/30card.png,https://www.card-gorilla.com/card/detail/30,교통 모바일 Tmoney App으로 이용 시 할인 카페 디저트 스타벅스 사이렌 오더 홈쇼핑 통신 통신요금 자동이체 OTT 영화 문화 CGV 온라인 서점,"['디저트', '공연/전시', '식사', '소매/유통', '생활서비스', '여가/오락']","['문화서비스', '제과/제빵/떡/케익', '교통서비스']"
30,신한카드 All Pass,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/31/card_img/20113/31card.png,https://www.card-gorilla.com/card/detail/31,고속버스 고속 시외 버스요금 결제일 할인 교통 지하철 시내버스 후불교통 택시 이용금액 편의점 카페 디저트 커피전문점 OTT 영화 문화 CGV영화 원,"['디저트', '공연/전시', '식사', '소매/유통', '생활서비스', '여가/오락']","['음/식료품소매', '교통서비스', '문화서비스', '제과/제빵/떡/케익', '커피/음료']"
31,신한카드 Deep Dream,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/32/card_img/20114/32card.png,https://www.card-gorilla.com/card/detail/32,모든가맹점 모두드림 전월 실적 적립 한도 없이 국내 외 신판 일시불 할부 이용 가맹점 포인트 생활 더해드림 자주 가는 DREAM영역은 기본의 배 총 챙겨드림 DREAM영역 중 가장 많이 이용한 영역 자동적립 주유 주말 토 일 전 주유소 리터당 원 택시 번째 할인 반겨드림,['생활서비스'],"['교통서비스', '연료판매']"
32,신한카드 The CLASSIC-L,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/33/card_img/20115/33card.png,https://www.card-gorilla.com/card/detail/33,바우처 LEISURE Option Service 무실적 캐시백 대한항공 마일리지 아시아나항공 택 카페 커피 무료 서비스 주유 GS칼텍스 시 리터당 원 결제일 할인 쇼핑 LG패션 오케이아웃도어닷컴 Outdous 테마파크 항공권 JDC 면세점 아시아나 이스타 항공 공항 인천공항 발렛파킹 제공 경기관람 프로야구 및 프로농구 홈 경기의 입장권 결제 할인혜택 영화 맥스무비 인터파크 YES 온라인 예매,"['디저트', '공연/전시', '식사', '소매/유통', '생활서비스', '여가/오락']","['취미/오락', '경기관람', '커피/음료', '연료판매']"
33,GS칼텍스 신한카드 Shine,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/35/card_img/20117/35card.png,https://www.card-gorilla.com/card/detail/35,주유 GS칼텍스 시 리터당 원 할인 교통 버스 지하철 택시 영화 맥스무비 인터파크 YES 예매 테마파크 주요 놀이공원 서비스,"['생활서비스', '소매/유통', '여가/오락']","['교통서비스', '취미/오락', '연료판매']"
34,신한카드 Cube Platinum#,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/36/card_img/23899/36card.png,https://www.card-gorilla.com/card/detail/36,선택형 Cube 선택서비스 개 할인 Coin Save 잔돈할인 서비스 잔돈은 프리미엄 Platinum 및 국제브랜드사,['생활서비스'],['전문서비스']
35,신한카드 The BEST-F,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/37/card_img/36924/37card.png,https://www.card-gorilla.com/card/detail/37,바우처 Gift Option Service 선택형 캐시백 캐시백형 선택 시 마일리지 적립 적립형 여행 숙박 JEJU 할인 공항라운지 카페 커피 베이커리 쇼핑 생활,"['디저트', '식사', '여가/오락']","['커피/음료', '숙박', '제과/제빵/떡/케익']"
37,신한카드 Deep Oil,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/39/card_img/31864/39card.png,https://www.card-gorilla.com/card/detail/39,주유 개의 정유사 중 직접 고른 개 이용금액 결제일 할인 자동차 하이패스 정비소 스피드메이트 주차장 편의점 GS CU 카페 스타벅스 이디야 택시 영화 롯데시네마 일반관 천원 현장,"['디저트', '식사', '소매/유통', '생활서비스', '여가/오락']","['음/식료품소매', '교통서비스', '연료판매', '제과/제빵/떡/케익', '수리서비스']"
38,신한카드 Deep Dream Platinum+,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/40/card_img/20121/40card.png,https://www.card-gorilla.com/card/detail/40,적립 국내 외 가맹점 포인트 생활 자주 가는 DREAM 영역 가장 많이 주유소 리터당 원 택시 천 할인 기타 안내 통합 적립한도 프리미엄 신한금융그룹 우대 서비스 Platinum,['생활서비스'],"['교통서비스', '연료판매']"
39,신한카드 Deep On Platinum+,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/41/card_img/20122/41card.png,https://www.card-gorilla.com/card/detail/41,간편결제 국내 온라인 이용 건 배달 슈퍼 할인 생활 대 편의점 잡화 커피 월납 프리미엄 서비스 제주항공 에어부산,"['전자상거래', '디저트', '식사', '소매/유통', '생활서비스']","['커피/음료', '음/식료품소매', '패션잡화']"
40,SOCAR 제휴 SOCAR 신한카드,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/42/card_img/20123/42card.png,https://www.card-gorilla.com/card/detail/42,렌터카 SOCAR 결제 시 결제일 할인 기차 KTX SRT 포함 철도 이용 카페 커피전문점 편의점 GS CU 세븐일레븐 대형마트 홈플러스 이마트 롯데마트 대 할인점,"['디저트', '식사', '생활서비스', '소매/유통']","['음/식료품소매', '교통서비스', '제과/제빵/떡/케익', '차량관리/서비스', '커피/음료']"
41,신한카드 Deep Store,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/43/card_img/20124/43card.png,https://www.card-gorilla.com/card/detail/43,쇼핑 생활쇼핑 최대 결제일 할인 카페 디저트 커피전문점 제과점 업종 기타 주말 복합쇼핑몰 대형마트 대 할인점 영화 롯데시네마 현장 예매 시 원,"['디저트', '식사', '소매/유통', '여가/오락']","['커피/음료', '제과/제빵/떡/케익']"
42,위메프페이 신한카드,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/44/card_img/20125/44card.png,https://www.card-gorilla.com/card/detail/44,적립 국내외 가맹점 이용 금액의 기본적립 간편결제 위메프에서 위메프페이 간편 결제 시 특별적립,"['전자상거래', '생활서비스', '소매/유통']",['인터넷쇼핑']
43,American Express Blue,삼성카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/45/card_img/37925/45card.png,https://www.card-gorilla.com/card/detail/45,생활 편의점 배달앱 멤버십리워즈 적립 디지털구독 스트리밍서비스 결제일 할인 카페 스타벅스 이디야 통신 교통 쇼핑 해외이용 해외,"['전자상거래', '디저트', '식사', '소매/유통', '생활서비스']","['음식배달서비스', '음/식료품소매', '제과/제빵/떡/케익']"
44,삼성카앤모아카드,삼성카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/46/card_img/27704/46card.png,https://www.card-gorilla.com/card/detail/46,주유 국내외 모든 가맹점에서 주유포인트 적립 전국 주유소 리터당 원 결제일할인 청구할인 LPG OTT 영화 문화 CGV 동반 인 할인 카페 디저트 스타벅스 자동차 하이패스 프라이버시콜 안심 주자번호서비스 무료 제공,"['디저트', '공연/전시', '식사', '생활서비스', '여가/오락']","['교통서비스', '문화서비스', '제과/제빵/떡/케익', '연료판매']"
45,삼성카드4,삼성카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/47/card_img/20128/47card.png,https://www.card-gorilla.com/card/detail/47,모든가맹점 모든 가맹점 할인 만원 이상 결제 시 OTT 영화 문화 영화관 원 무이자할부 개월,"['공연/전시', '생활서비스', '여가/오락']",['문화서비스']
46,국민행복 삼성카드,삼성카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/48/card_img/20129/48card.png,https://www.card-gorilla.com/card/detail/48,국민행복 임신 출산 육아 국가바우처 이용 적립 할인점 쇼핑몰 병원 약국 등 업종별 빅포인트 교육 서점 학습지 업종 이용금액 결제일할인 청구할인 쇼핑 신세계포인트 및 신세계백화점 할인 카페 디저트 커피전문점 파리바게뜨 배스킨라빈스 던킨도너츠 영화 CGV 영화티켓 원 이상 결제 시 기타 놀이공원 어린이 직업체험 테마파크,"['의료/건강', '디저트', '식사', '소매/유통', '생활서비스', '여가/오락']","['취미/오락', '커피/음료', '일반병원', '제과/제빵/떡/케익']"
47,삼성카드 & MILEAGE PLATINUM (스카이패스),삼성카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/49/card_img/42288/49card.png,https://www.card-gorilla.com/card/detail/49,대한항공 모든 가맹점 이용금액 원당 마일리지 기본적립 백화점 특별적립 국내형 스카이패스 추가 적립 주유소 주유 카페 커피 편의점 택시 해외 해외형 및 직접구매 이용건 공항라운지 인천공항 라운지 본인 무료 이용 공항 발렛파킹 서비스 프리미엄 아멕스 PLATINUM 등급 선택형 여행의 설레임을 담은 디자인으로 리뉴얼 된 삼성카드 MILEAGE,"['디저트', '식사', '생활서비스', '소매/유통']","['교통서비스', '음/식료품소매', '커피/음료', '연료판매']"
48,아시아나 삼성지엔미플래티늄카드,삼성카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/50/card_img/27706/50card.png,https://www.card-gorilla.com/card/detail/50,아시아나항공 원당 아시아나 마일리지 적립 주유소 S OIL 리터당 보너스포인트 패밀리레스토랑 아웃백스테이크하우스 할인 카페 스타벅스 원 결제일할인 영화 메가박스 CGV 인터파크 테마파크 놀이공원 서비스 정비 닥터카서비스 무이자할부 백화점 할인점 개월 의료점 경기관람 프로스포츠 프로모션,"['의료/건강', '디저트', '공연/전시', '식사', '소매/유통', '생활서비스', '여가/오락']","['취미/오락', '연료판매', '제과/제빵/떡/케익', '휴게소/대형업체', '의약/의료품', '경기관람', '수리서비스']"
49,삼성카드 taptap O,삼성카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/51/card_img/37691/51card.png,https://www.card-gorilla.com/card/detail/51,선택형 라이프스타일 패키지 선택 대중교통 택시 결제일할인 통신 이동통신요금 영화 CGV 및 롯데시네마 원 해외 적립,"['생활서비스', '여가/오락']",['교통서비스']
50,삼성카드 taptap S,삼성카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/52/card_img/27708/52card.png,https://www.card-gorilla.com/card/detail/52,모든가맹점 모든 가맹점 빅포인트 적립 주유 주유소 및 LPG 충전소 원 결제일 할인 영화 영화관,"['생활서비스', '여가/오락']",['연료판매']
51,아시아나 삼성애니패스플래티늄카드,삼성카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/53/card_img/27709/53card.png,https://www.card-gorilla.com/card/detail/53,아시아나항공 이용금액 원당 아시아나 마일리지 적립 주유소 S OIL 주유소에서 휘발유 경유 등유 주유시 리터당 보너스포인트 카페 스타벅스 원 결제일 할인 영화 메가박스 CGV 무비존 테마파크 놀이공원 자유이용권 워터파크 입장권 현장할인 정비 엔진오일 교환 시,"['디저트', '생활서비스', '식사', '여가/오락']","['취미/오락', '제과/제빵/떡/케익', '연료판매', '수리서비스']"
53,CU·배달의민족 삼성카드 taptap,삼성카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/55/card_img/27710/55card.png,https://www.card-gorilla.com/card/detail/55,편의점 CU 원당 원 결제일할인 배달앱 배달의민족 교통 대중교통 푸드 음식점 주점,"['전자상거래', '식사', '생활서비스', '소매/유통']","['음식배달서비스', '음/식료품소매', '휴게소/대형업체', '교통서비스']"
54,삼성카드 지엔미+,삼성카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/56/card_img/28050/56card.png,https://www.card-gorilla.com/card/detail/56,카페 커피전문점 결제일할인 영화 모든 영화관 원 패밀리레스토랑 VIPS 계절밥상 모든가맹점 가맹점 기본 청구할인 생활 교육 할인점 이동통신 병원 약국 테마파크 놀이공원 할인 서비스 정비 닥터카 프리미엄 브랜드사,"['의료/건강', '디저트', '식사', '생활서비스', '여가/오락']","['취미/오락', '제과/제빵/떡/케익', '휴게소/대형업체', '일반병원', '커피/음료', '수리서비스']"
55,삼성카드 애니패스+,삼성카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/57/card_img/28051/57card.png,https://www.card-gorilla.com/card/detail/57,영화 모든 영화관 원 결제일할인 카페 커피전문점 푸드 VIPS 계절밥상 모든가맹점 가맹점 기본 청구할인 생활 음식점 주점 편의점 주유 택시 테마파크 놀이공원 자유이용권 워터파크 입장권 현장할인 정비 엔진오일 교환 시 프리미엄 MASTER UnionPay 서비스,"['디저트', '식사', '소매/유통', '생활서비스', '여가/오락']","['취미/오락', '음/식료품소매', '교통서비스', '연료판매', '제과/제빵/떡/케익', '휴게소/대형업체', '커피/음료', '수리서비스']"
56,카라이프 삼성카드 DISCOUNT+,삼성카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/58/card_img/28052/58card.png,https://www.card-gorilla.com/card/detail/58,주유 모든 주유소에서 시 리터당 원 결제일할인 자동차 삼성화재 자동차보험료 엔진오일 교환 카카오드라이버 할인 모든가맹점 가맹점 기본 생활 할인점 소셜커머스 커피전문점 편의점 영화 프리미엄 해외겸용카드 전용 MASTER PLATINUM 등급 서비스,"['디저트', '생활서비스', '소매/유통']","['음/식료품소매', '연료판매', '제과/제빵/떡/케익', '커피/음료', '수리서비스']"
57,삼성카드 taptap I,삼성카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/59/card_img/37169/59card.png,https://www.card-gorilla.com/card/detail/59,선택형 라이프스타일 패키지 옵션 중 택 라운지키 여가패키지 해외 공항 라운지 Lounge Key 본인 이용 무료 여행 숙박 결제일할인 쇼핑 일상패키지 슈퍼마켓 프리미엄 아울렛 등 카페 디저트 대 커피전문점 제과점 푸드 음식점 신선식품 배송 영화 모든 영화관에서 원 이상 결제 시 도서 서점 인터파크 티켓 동물병원에서 건별 기차 KTX SRT 포함 철도 청구할인 mastercard PLATINUM 등급 서비스 캐시백 국내외 연간 누적 이용금액 만원당,"['의료/건강', '디저트', '식사', '생활서비스', '여가/오락']","['교통서비스', '제과/제빵/떡/케익', '숙박', '일반병원', '커피/음료']"
